ID,Subject,Services,ProgramServiceSubject,Section,SectionItem,Contents,StatePlanSection,PlanPage,pdfPageNumber,EffectiveDate,TransmittalNumber,Superseded1,Superseded2,Superseded3,Superseded4,Superseded5,Superseded6,Superseded7,Superseded8,Superseded9,Superseded10,Superseded11,Superseded12,Superseded13,Superseded14,Superseded15,Superseded16,Superseded17,Superseded18,Superseded19,Superseded20,Superseded21,Superseded22,Superseded23,Superseded24,Superseded25
18,Eligibility Groups,Mandatory Coverage,TANF,Categorically Needy and Other Required Special Groups,2.2-A (A.),"3. Removed by SPA 14-0002 MM1-MAGI4. Families Terminated from AFDC",Attachment 2.2-A,Page 02a,31,10/1/91,91-34,74-63,NoRecord,SuperNone,,,78-11,74-63,NoRecord,SuperNone,,,,,,,,,,,,,,,,
19,Eligibility Groups,DELETED,,Categorically Needy and Other Required Special Groups,2.2-A (A.),Removed by SPA 14-0002 MM1-MAGI,Attachment 2.2-A ,Page 03,32,,14-02,91-34,86-23,85-07,,,,,,74-63,NoRecord,SuperNone,,,,,,,,,,,,,,
20,Eligibility Groups,DELETED,,Categorically Needy and Other Required Special Groups,2.2-A (A.),Removed by SPA 14-0002 MM1-MAGI,Attachment 2.2-A,Page 03a,33,,14-02,92-05,,,,,,,,74-63,NoRecord,SuperNone,,,,,,,,,,,,,,
21,Eligibility Groups,DELETED,,Categorically Needy and Other Required Special Groups,2.2-A (A.),Removed by SPA 14-0002 MM1-MAGI,Attachment 2.2-A ,Page 04,34,,14-02,92-10,91-34,91-08,,86-23,86-21,,,74-63,NoRecord,SuperNone,,,,,,,,,,,,,,
22,Eligibility Groups,DELETED,,Categorically Needy and Other Required Special Groups,2.2-A (A.),Removed by SPA 14-0002 MM1-MAGI,Attachment 2.2-A,Page 04a,35,,14-02,98-09,92-10,91-34,90-48,90-25,,82-02,78-11,74-63,NoRecord,SuperNone,,,,,,,,,,,,,,
23,Pregnant Women,Mandatory Coverage,Postpartum Coverage,Categorically Needy and Other Required Special Groups,2.2-A (A.),11. Medicaid Services Postpartum for 60 days after Pregnancy,Attachment 2.2-A ,Page 05,36,4/1/92,92-10,91-34,89-12,87-10,86-24,85-01,82-02,78-11,,,,,,,,,,,,,,,,,,
24,Eligibility Groups,Mandatory Coverage,Emergency Medicaid,Categorically Needy and Other Required Special Groups,2.2-A (A.),"12. Children born in the US to MCD eligible13.a. Aged, Blind, Disabled, Receiving SSI",Attachment 2.2-A ,Page 06,37,12/1/09,Sep-35,92-10,91-34,87-10,86-24,85-01,82-02,78-11,,,,,,,,,,,,,,,,,,
25,Eligibility Groups,Mandatory Coverage,"Aged, Blind, Disabled",Categorically Needy and Other Required Special Groups,2.2-A (A.),"13.b. Aged, Blind, Disabled, more restrictive  than SSI MCD requirements",Attachment 2.2-A,Page 06a,38,10/1/91,91-34,89-12,87-10,SuperNone,,,,,,,,,,,,,,,,,,,,,,
26,Eligibility Groups,Mandatory Coverage,"Blind, Disabled",Categorically Needy and Other Required Special Groups,2.2-A (A.),14. Qualified severely impaired blind and disabled individuals under age 65,Attachment 2.2-A,Page 06b,39,10/1/91,91-34,87-10,SuperNone,,,,,,,,,,,,,,,,,,,,,,,
27,Eligibility Groups,Mandatory Coverage,"Blind, Disabled",Categorically Needy and Other Required Special Groups,2.2-A (A.),14. Qualified severely impaired blind and disabled individuals under age 65,Attachment 2.2-A,Page 06c,40,10/1/91,91-34,87-10,SuperNone,,,,,,,,,,,,,,,,,,,,,,,
28,Eligibility Groups,Mandatory Coverage,"Blind, Disabled",Categorically Needy and Other Required Special Groups,2.2-A (A.),14. Qualified severely impaired blind and disabled individuals under age 66,Attachment 2.2-A,Page 06d,41,10/1/91,91-34,87-10,SuperNone,,,,,,,,,,,,,,,,,,,,,,,
29,Eligibility Groups,Mandatory Coverage,"Blind, Disabled",Categorically Needy and Other Required Special Groups,2.2-A (A.),More restrictive  than SSI MCD requirements,Attachment 2.2-A,Page 06e,42,10/1/91,91-34,87-10,SuperNone,,,,,,,,,,,,,,,,,,,,,,,
30,Eligibility Groups,Mandatory Coverage,"Blind, Disabled",Categorically Needy and Other Required Special Groups,2.2-A (A.),18. Essential Spouse ,Attachment 2.2-A,Page 06f,43,10/1/91,91-34,87-10,SuperNone,,,,,,,,,,,,,,,,,,,,,,,
31,Eligibility Groups,Mandatory Coverage,"Blind, Disabled",Categorically Needy and Other Required Special Groups,2.2-A (A.),"19. Institutionalized Individuals eligible in Dec. 197320. Blind and Disabled Individuals who--",Attachment 2.2-A,Page 06g,44,10/1/91,91-34,87-10,SuperNone,,,,,,,,,,,,,,,,,,,,,,,
32,Eligibility Groups,Mandatory Coverage,OASDI,Categorically Needy and Other Required Special Groups,2.2-A (A.),21. OASDI exemption,Attachment 2.2-A ,Page 07,45,10/1/91,91-34,87-10,86-24,85-01,82-02,74-63,,,,,,,,,,,,,,,,,,,,
33,Eligibility Groups,Mandatory Coverage,OASDI,Categorically Needy and Other Required Special Groups,2.2-A (A.),22.SSI and OASDI concurrence,Attachment 2.2-A ,Page 08,46,10/1/91,91-34,88-15,87-10,86-23,86-13,85-01,84-08,82-02,75-54,,,,,,,,,,,,,,,,,
34,Eligibility Groups,Mandatory Coverage,OASDI,Categorically Needy and Other Required Special Groups,2.2-A (A.),23. Disabled Widows and Widowers eligible for SSI except for increase in OASDI benefits,Attachment 2.2-A ,Page 09,47,10/1/91,91-34,91-12,88-15,,86-24,85-01,84-08,82-02,74-63,,,,,,,,,,,,,,,,,
35,Eligibility Groups,Mandatory Coverage,Widowed/Divorced,Categorically Needy and Other Required Special Groups,2.2-A (A.),"24. Disabled Widows, Widowers, and unmarried divorced spouses",Attachment 2.2-A,Page 09a,48,10/1/91,92-04,91-34,88-16,,,,,,,,,,,,,,,,,,,,,,,
36,Eligibility Groups,Mandatory Coverage,QMB-QDWI,Categorically Needy and Other Required Special Groups,2.2-A (A.),"25. QMB26. Qualified Disabled and Working Individuals",Attachment 2.2-A,Page 09b,49,4/1/10,Oct-47,93-05,91-34,SuperNone,,,,,,,,,,,,,,,,,,,,,,
37,Eligibility Groups,Mandatory Coverage,SLMB,Categorically Needy and Other Required Special Groups,2.2-A (A.),"27. Specified Low-Income Beneficiaries28. Qualifiying Individuals",Attachment 2.2-A,Page 09b1,50,4/1/10,Oct-47,93-05,SuperNone,,,,,,,,,,,,,,,,,,,,,,,
38,Eligibility Groups,Mandatory Coverage,QI,Categorically Needy and Other Required Special Groups,2.2-A (A.),"29. Each person to whom SSI benefits by reason of disability are not payable for any month solely by reason of clause (i) or (v) of Section 1611 (e)(3)(A) shall be treated, for purposes of title XIX, as receiving SSI benefits for the month.",Attachment 2.2-A,Page 09b2,51,4/1/10,Oct-47,95-04,SuperNone,,,,,,,,,,,,,,,,,,,,,,,
39,Eligibility Groups,Optional Group,Covered,Optional Groups Other than the Medically Needy,2.2-A (B.),"1. Pregnant Women and Caretaker relatives removed from list by SPA 14-0002 MM1 (Not Covered)2. Individuals eligible for SSA if not in medical institution (Covered)",Attachment 2.2-A,Page 09c,52,10/1/91,91-34,86-24,88-16,86-24,,78-11,74-63,NoRecord,SuperNone,,,,,,,,,,,,,,,,,
40,Managed Care,Optional Group,Not Covered,Optional Groups Other than the Medically Needy,2.2-A (B.),3. Title XIII,Attachment 2.2-A,Page 10,53,8/13/03,16-Mar,00-19,93-04,91-34,86-24,85-04,85-01,,,,,,,,,,,,,,,,,,,
41,Managed Care,Optional Group,Not Covered,Optional Groups Other than the Medically Needy,2.2-A (B.),3. Title XIII,Attachment 2.2-A,Page 10a,54,8/13/03,16-Mar,00-19,93-04,,,,,,,,,,,,,,,,,,,,,,,
42,NF/ IID,Optional Group,Covered,Optional Groups Other than the Medically Needy,2.2-A (B.),4. 1915(c) Waiver Population (217 Population),Attachment 2.2-A,Page 11,55,10/1/91,92-04,91-34,86-23,85-04,,,74-63,NoRecord,SuperNone,,,,,,,,,,,,,,,,,
43,Terminally Ill,Optional Group,Not Covered,Optional Groups Other than the Medically Needy,2.2-A (B.),5. 1905(o) Voluntary Election (Termanilly Ill),Attachment 2.2-A,Page 11a,56,10/1/91,91-34,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
44,DELETED,DELETED,MM1,Optional Groups Other than the Medically Needy,2.2-A (B.),Removed by SPA 14-0002 MM1-MAGI,Attachment 2.2-A,Page 12,57,1/1/92,92-05,91-34,,,86-24,85-04,85-01,,,,,,,,,,,,,,,,,,,
45,DELETED,DELETED,MM1,Optional Groups Other than the Medically Needy,2.2-A (B.),Removed by SPA 14-0002 MM1-MAGI,Attachment 2.2-A,Page 13,58,10/1/91,91-34,86-24,,,86-24,85-01,,,,,,,,,,,,,,,,,,,,
46,DELETED,DELETED,MM1,Optional Groups Other than the Medically Needy,2.2-A (B.),Removed by SPA 14-0002 MM1-MAGI,Attachment 2.2-A,Page 13a,59,10/1/91,91-34,86-24,,,,,,,,,,,,,,,,,,,,,,,,
47,DELETED,DELETED,MM1,Optional Groups Other than the Medically Needy,2.2-A (B.),Removed by SPA 14-0002 MM1-MAGI,Attachment 2.2-A,Page 14,60,10/1/10,3-Oct,91-34,86-24,85-01,,,,,,,,,,,,,,,,,,,,,,
48,DELETED,DELETED,MM1,Optional Groups Other than the Medically Needy,2.2-A (B.),Removed by SPA 14-0002 MM1-MAGI,Attachment 2.2-A,Page 14a,61,10/1/91,91-34,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
49,Eligibility Groups,Optional Group,Not Covered,Optional Groups Other than the Medically Needy,2.2-A (B.),10. States using SSI criteria with agreements under sections 1616 and 1634 of the Act.,Attachment 2.2-A,Page 15,62,10/1/91,91-34,86-24,85-01,,,,,,,,,,,,,,,,,,,,,,,
50,Eligibility Groups,Optional Group,Not Covered,Optional Groups Other than the Medically Needy,2.2-A (B.),10. States using SSI criteria with agreements under sections 1616 and 1634 of the Act.,Attachment 2.2-A,Page 16,63,10/1/91,91-34,86-24,,,86-24,85-01,,,,,,,,,,,,,,,,,,,,
51,Eligibility Groups,Optional Group,Not Covered,Optional Groups Other than the Medically Needy,2.2-A (B.),Supplement variance according to cost-of-living differences,Attachment 2.2-A,Page 16a,64,9/1/03,10-Mar,91-34,SuperNone,,,,,,,,,,,,,,,,,,,,,,,
52,Eligibility Groups,Optional Group,Not Covered,Optional Groups Other than the Medically Needy,2.2-A (B.),11. Section 1902(f) States and SSI criteria States without agreements undersection 1616 or 1634 of the Act,Attachment 2.2-A,Page 17,65,1/1/92,92-05,91-34,87-10,86-23,86-13,,,,,,,,,,,,,,,,,,,,,
53,Eligibility Groups,Optional Group,Not Covered,Optional Groups Other than the Medically Needy,2.2-A (B.),11. Section 1902(f) States and SSI criteria States without agreements undersection 1616 or 1634 of the Act,Attachment 2.2-A,Page 18,66,10/1/91,91-34,86-24,,86-23,85-04,,,,,,,,,,,,,,,,,,,,,
54,Eligibility Groups,Optional Group,Not Covered,Optional Groups Other than the Medically Needy,2.2-A (B.),11. Section 1902(f) States and SSI criteria States without agreements undersection 1616 or 1634 of the Act,Attachment 2.2-A,Page 18a,67,10/1/91,91-34,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
55,"Aged, Blind, Disabled",Optional Group,Covered,Optional Groups Other than the Medically Needy,2.2-A (B.),12. Individuals in Institutions for at least 30 consecutive days.,Attachment 2.2-A,Page 19,68,10/1/91,91-34,90-32,87-10,86-24,85-04,85-01,,,,,,,,,,,,,,,,,,,,
56,Eligibility Groups,Optional Group,Not Covered,Optional Groups Other than the Medically Needy,2.2-A (B.),"13. Disabled Children 18 and under living at home eligible for Medicaid under the plan if in a medical institution.14. Removed by SPA 14-0002 MM1",Attachment 2.2-A,Page 20,69,3/1/92,92-09,92-05,91-34,90-32,,87-10,SuperNone,,,,,,,,,,,,,,,,,,,
57,Eligibility Groups,Optional Group,Not Covered,Optional Groups Other than the Medically Needy,2.2-A (B.),Reserved for Future Use,Attachment 2.2-A,Page 21,70,10/1/91,91-34,90-32,,,,,,,,,,,,,,,,,,,,,,,,
58,65+,Optional Groups,Not Covered,Optional Groups Other than the Medically Needy,2.2-A (B.),16. Individuals 65 years of age or older.,Attachment 2.2-A,Page 22,71,10/1/91,91-34,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
59,DELETED,DELETED,Optional Groups,Optional Groups Other than the Medically Needy,2.2-A (B.),Removed by SPA 14-0002 MM1-MAGI,Attachment 2.2-A,Page 23,72,4/1/92,91-34,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
60,Eligibility Groups,Optional Groups,Covered,Optional Groups Other than the Medically Needy,2.2-A (B.),"18. Individuals required to enroll in cost-effective employer-based group health plans.19. Individuals entitled to elect COBRA continuation coverage.",Attachment 2.2-A,Page 23a,73,9/1/94,92-03,92-12,SuperNone,,,,,,,,,,,,,,,,,,,,,,,
61,DELETED,DELETED,Optional Groups,Optional Groups Other than the Medically Needy,2.2-A (B.),Removed by SPA 14-0002 MM1-MAGI,Attachment 2.2-A,Page 23b,74,9/1/01,13-Jan,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
62,DELETED,DELETED,Optional Groups,Optional Groups Other than the Medically Needy,2.2-A (B.),Removed by SPA 14-0002 MM1-MAGI,Attachment 2.2-A,Page 23b(1),75,9/1/01,13-Jan,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
63,MBCC,Optional Groups,Covered,Optional Groups Other than the Medically Needy,2.2-A (B.),21. Medicaid Breast and Cervical Cancer Program,Attachment 2.2-A,Page 23c,76,9/1/02,10-Feb,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
64,,DELETED,Optional Groups,Optional Groups Other than the Medically Needy,2.2-A (B.),Removed by SPA 14-0002 MM1-MAGI,Attachment 2.2-A,Page 23d,77,9/1/02,10-Feb,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
65,MBI,Optional Groups,Covered,Optional Groups Other than the Medically Needy,2.2-A (B.),23. BBA Work Incentives Eligibility Group,Attachment 2.2-A,Page 23e,78,9/1/06,1-Jun,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
66,MBIC,Optional Groups,Covered,Optional Groups Other than the Medically Needy,2.2-A (B.),26. Family Opportunity Act,Attachment 2.2-A,Page 23f,79,1/1/11,2-Oct,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
67,MBIC,Optional Groups,Covered,Optional Groups Other than the Medically Needy,2.2-A (B.),26. Family Opportunity Act_Income Standards,Attachment 2.2-A,Page 23g,80,1/1/11,2-Oct,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
68,MBIC,Optional Groups,Covered,Optional Groups Other than the Medically Needy,2.2-A (B.),26. Family Opportunity Act_Income Methodologies,Attachment 2.2-A,Page 23h,81,1/1/11,2-Oct,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
69,1915(i),HCBS-AMH,Covered,Optional Groups Other than the Medically Needy,2.2-A (B.),1(a). Individuals who meet the needs-based critera have income not exceeding 150% FPL,Attachment 2.2-A,Page 23i,82,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
70,1915(i),HCBS-AMH,Covered,Optional Groups Other than the Medically Needy,2.2-A (B.),1(b). Individuals elgibible for HCBS under a waiver whose income doesn't exceed 300% FPL,Attachment 2.2-A,Page 23j,83,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
71,1915(i),HCBS-AMH,Covered,Optional Groups Other than the Medically Needy,2.2-A (B.),1(b). Individuals elgibible for HCBS under a waiver whose income doesn't exceed 300% FPL,Attachment 2.2-A,Page 23k,84,9/1/15,14-14,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
72,Pregnant Women,Optional Group,Covered,Optional Coverage of the Medically Needy,2.2-A (C.),"1. Pregnant Women2. Postpartum Women (60 days)3. Individuals under age 18",Attachment 2.2-A,Page 24,85,9/1/03,91-34,74-63,NoRecord,SuperNone,,,,,,,,,,,,,,,,,,,,,,
73,Children,Optional Group,Covered,Optional Coverage of the Medically Needy,2.2-A (C.),5.a. Financially eligible individuals under 19.,Attachment 2.2-A,Page 25,86,12/1/09,Sep-35,12-Mar,,91-34,74-63,NoRecord,SuperNone,,,,,,,,,,,,,,,,,,,
74,Children,Optional Group,Covered,Optional Coverage of the Medically Needy,2.2-A (C.),"5.b. Reasonable Classification of Individuals Under the Age of 21, 20, 19, and 18. SEE MAGI Section S52",Attachment 2.2-A,Page 25a,87,10/1/92,92-39,91-34,74-63,NoRecord,SuperNone,,,,,,,,,,,,,,,,,,,,,
75,Medically Needy,Optional Group,Not Covered,Optional Coverage of the Medically Needy,2.2-A (C.),"6. Caretaker Relatives7. Aged Individuals8. Blind Individuals9. Disabled Individuals10. Individuals who would beineligible if they were notemolled in an HMO.Categorically needy individualsare covered under 42 CFR435.212 and the same rules applyto medically needy individuals.11. Blind and disabled individuals",Attachment 2.2-A,Page 26,88,9/1/03,12-Mar,92-14,91-34,74-63,NoRecord,SuperNone,,,,,,,,,,,,,,,,,,,,
76,Medically Needy,Optional Group,Not Covered,Optional Coverage of the Medically Needy,2.2-A (C.),12. Individuals required to enroll in cost-effective employer-based group health plans.,Attachment 2.2-A,Page 26a,89,9/1/94,92-03,74-63,NoRecord,SuperNone,,,,,,,,,,,,,,,,,,,,,,
77,Eligibility Groups,Optional Group,Not Covered,Optional Coverage of the Medically Needy,2.2-A (C.),Medically Needy Co-pays,Attachment 2.2-A,Page 27,90,11/5/90,90-49,74-63,NoRecord,SuperNone,,,,,,,,,,,,,,,,,,,,,,
78,DELETED,DELETED,Medically Needy,"Reasonable Classification of Individuals Under the Age of 21, 20, 19, and 18",,Removed by SPA 14-0002 MM1-MAGI,Supplement 1 to Attachment 2.2-A,Page 01,91,,14-02,13-51,25-Jun,,,,91-05,85-04,,,,,,,,,,,,,,,,,,
79,Eligibility Groups,DELETED,Medically Needy,Reasonable Classification of Individuals Receiving State Supplementation,,Removed by SPA 14-0002 MM1-MAGI,Supplement 1 to Attachment 2.2-A,Page 01a,92,1/1/06,19-Jun,10-Mar,,,,,,,,,,,,,,,,,,,,,,,,
80,Eligibility Groups,LTSS,Disabled Children,Method for Determining Cost Effectiveness of Caring for Certain Disabled Children at Home,,No Methodology listed on Pre-Print page.,Supplement 3 to Attachment 2.2-A,Page 01,93,10/1/91,91-34,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
81,Eligibility Determination,Conditions,Financial,General Conditions of Eligibility,2.6-A (A.),"1. Is financially eligible to receive services2. Meets the applicable non-financial eligibility conditions.2.a.i Removed by SPA 14-0002 MM12.a.iii Removed by SPA 14-0002 MM1",Attachment 2.6-A ,Page 01,94,4/1/92,92-10,91-34,87-10,87-05,,85-01,82-02,,78-11,74-63,NoRecord,SuperNone,,,,,,,,,,,,,,
82,Eligibility Determination,Conditions,Residence,General Conditions of Eligibility,2.6-A (A.),3. Is residing in the United States and - ,Attachment 2.6-A ,Page 02,95,5/1/10,8-Oct,91-34,89-05,87-10,86-23,86-18,85-01,82-02,,75-54,74-63,NoRecord,SuperNone,,,,,,,,,,,,,
83,Eligibility Determination,Conditions,Residence,General Conditions of Eligibility,2.6-A (A.),3.f. CHIPRA option to provide full Medicaid coverage to children of lawful aliens.,Attachment 2.6-A,Page 02a,96,5/1/10,8-Oct,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
84,Eligibility Determination,Conditions,Residence,General Conditions of Eligibility,2.6-A (A.),3.g. CHIPRA 214 Option,Attachment 2.6-A,Page 02b,97,5/1/10,8-Oct,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
85,DELETED,DELETED,S88 - MAGI,Eligibility Conditions and Requirements,,Removed by SPA 14-0004 MM5-MAGI,Attachment 2.6-A ,Page 03,98,5/1/10,8-Oct,91-34,89-31,,86-24,86-23,85-01,83-12,82-02,79-15,78-11,74-63,NoRecord,SuperNone,,,,,,,,,,,,
86,Eligibility Determination,Conditions,Exclusions,Eligibility Conditions and Requirements,2.6-A (A.),"5.a. Inmate of Public Institution5.b. IMD Exclusion for under 656. Assignment of Rights",Attachment 2.6-A,Page 03a,99,1/1/92,92-12,91-34,78-11,74-63,NoRecord,SuperNone,,,,,,,,,,,,,,,,,,,,
87,Eligibility Determination,Conditions,SSN Requirement,Eligibility Conditions and Requirements,2.6-A (A.),A. General Conditions of Eligibility,Attachment 2.6-A,Page 03a.1,100,1/1/92,92-12,91-34,,,,,,,,,,,,,,,,,,,,,,,,
88,,DELETED,MM1,Eligibility Conditions and Requirements,,Removed by SPA 14-0002 MM1-MAGI,Attachment 2.6-A,Page 03b,101,10/1/91,91-34,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
89,Eligibility Determination,Conditions,Health Plan,Eligibility Conditions and Requirements,2.6-A (A.),10. Required to apply for enrollment in an employer-based cost-effective health plan.,Attachment 2.6-A,Page 03c,102,9/1/94,92-03,91-19,,,,,,,,,,,,,,,,,,,,,,,,
90,NF/ IID,Financial,Income,Posteligibility Treatment of Institutionalized Individuals' Incomes,2.6-A (B.),B. Posteligibility Treatment of Institutionalized Individuals' Incomes,Attachment 2.6-A ,Page 04,103,9/1/09,Sep-32,98-02,,87-10,85-04,85-01,82-02,,78-11,74-63,NoRecord,SuperNone,,,,,,,,,,,,,,
91,NF/ IID,Financial,Personal Needs Allowance,Posteligibility Treatment of Institutionalized Individuals' Incomes,2.6-A (B.),"2.a. Aged, Blind, Disabled2.b. AFDC Related (Supplement 12 to 2.6-A)2.c. Individuals under age 21 (Att. 2.2-A Item B.7)",Attachment 2.6-A,Page 04a,104,9/1/09,Sep-32,19-Jun,,87-10,86-24,,,,,,,,,,,,,,,,,,,,,
92,NF/ IID,Financial,Monthly Income Allowance,Posteligibility Treatment of Institutionalized Individuals' Incomes,2.6-A (B.),3.a. Income Allowance for Community Spouse,Attachment 2.6-A,Page 04b,105,9/1/09,Sep-32,98-02,,,,,,,,,,,,,,,,,,,,,,,,
93,NF/ IID,Financial,Monthly Income Allowance,Posteligibility Treatment of Institutionalized Individuals' Incomes,2.6-A (B.),"3.b. Montly Income Allowance for other dependents family members living with Community Spouse3.c. Amounts for health care expenses incurred by and for the institutionalized individual",Attachment 2.6-A,Page 04c,106,9/1/09,Sep-32,98-02,,,,,,,,,,,,,,,,,,,,,,,,
94,Eligibility Determination,Financial,Monthly Income Allowance,Posteligibility Treatment of Institutionalized Individuals' Incomes,2.6-A (B.),,Attachment 2.6-A ,Page 05,107,9/1/09,Sep-32,98-02,,89-31,87-10,85-04,85-01,82-02,,,,,,,,,,,,,,,,,,
95,Eligibility Determination,Financial,,Posteligibility Treatment of Institutionalized Individuals' Incomes,2.6-A (B.),,Attachment 2.6-A,Page 05a,108,9/1/09,Sep-32,98-02,,,,,,,,,,,,,,,,,,,,,,,,
96,,Eligibility,,Financial Eligibility,,"AFDC Recipients, Pregnant Women, Infants, and Children_Removed by SPA 14-0002 MM1",Attachment 2.6-A ,Page 06,109,4/1/92,92-10,91-34,,87-10,85-01,82-02,,,,,,,,,,,,,,,,,,,,
97,,Eligibility,Financial,Financial Eligibility,C.,Financial Eligibility,Attachment 2.6-A,Page 06a,110,4/1/97,97-04,96-12,,91-34,SuperNone,,,,,,,,,,,,,,,,,,,,,
98,,Eligibility,,Financial Eligibility,,"1.a.(1) Removed by SPA 14-0002 MM11.a.(2) Removed by SPA 14-0002 MM1",Attachment 2.6-A ,Page 07,111,4/1/96,96-12,92-10,,91-34,89-22,87-10,85-01,82-02,,,,,,,,,,,,,,,,,,
99,,Eligibility,,Financial Eligibility,,,Attachment 2.6-A,Page 07a,112,4/1/92,92-10,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
